         24506273 function calls (12656933 primitive calls) in 23.992 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   23.992   23.992 /home/sergi/projects/postquantic-pot-code/main.py:46(protocol)
        1    0.000    0.000   21.858   21.858 /home/sergi/projects/postquantic-pot-code/src/protocol/__init__.py:28(set_up_pctx)
        1    0.000    0.000   21.626   21.626 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:41(get_fatctx)
        1    0.000    0.000   21.506   21.506 /home/sergi/projects/postquantic-pot-code/src/falcon/__init__.py:21(__init__)
        1    0.000    0.000   21.506   21.506 /home/sergi/projects/postquantic-pot-code/src/falcon/falcon.py:213(__init__)

        1    0.000    0.000    1.289    1.289 /home/sergi/projects/postquantic-pot-code/src/protocol/__init__.py:72(customer_spend_coin)
       77    0.000    0.000    0.988    0.013 /home/sergi/projects/postquantic-pot-code/src/context/context.py:177(r_small_vector)
       77    0.000    0.000    0.988    0.013 /home/sergi/projects/postquantic-pot-code/src/context/context.py:144(random_vector_small)
        8    0.000    0.000    0.935    0.117 /home/sergi/projects/postquantic-pot-code/src/ajtai/__init__.py:107(ajtai_commitment)
      212    0.000    0.000    0.923    0.004 /home/sergi/projects/postquantic-pot-code/src/context/context.py:166(r_small)
      204    0.000    0.000    0.911    0.004 /home/sergi/projects/postquantic-pot-code/src/context/context.py:183(<lambda>)
      200    0.031    0.000    0.910    0.005 /home/sergi/projects/postquantic-pot-code/src/context/context.py:136(random_element_small)
        1    0.000    0.000    0.846    0.846 /home/sergi/projects/postquantic-pot-code/src/protocol/__init__.py:43(create_coins)
   124928    0.040    0.000    0.840    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:175(<lambda>)
   124928    0.100    0.000    0.801    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:116(cbd)
   249856    0.434    0.000    0.701    0.000 /usr/lib/python3.13/random.py:787(binomialvariate)
        4    0.000    0.000    0.634    0.158 /home/sergi/projects/postquantic-pot-code/src/assymetric/__init__.py:7(blind_nizk)
        4    0.000    0.000    0.585    0.146 /home/sergi/projects/postquantic-pot-code/src/protocol/__init__.py:60(merchant_spend_coin)
        3    0.000    0.000    0.535    0.178 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:135(create_nonvalued)
        4    0.000    0.000    0.498    0.124 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:164(merchant_spend)
      150    0.050    0.000    0.405    0.003 /home/sergi/projects/postquantic-pot-code/src/context/context.py:119(random_element)
       70    0.003    0.000    0.385    0.006 /home/sergi/projects/postquantic-pot-code/src/context/context.py:284(_to_array)
      141    0.023    0.000    0.379    0.003 /home/sergi/projects/postquantic-pot-code/src/context/context.py:190(collapse_even)
      210    0.000    0.000    0.377    0.002 /home/sergi/projects/postquantic-pot-code/src/context/context.py:286(<genexpr>)
      546    0.001    0.000    0.353    0.001 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring_element.py:615(__iter__)
      546    0.046    0.000    0.352    0.001 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_quotient_ring_element.py:618(list)
  2099620    0.335    0.000    0.335    0.000 {method 'conjugate' of 'complex' objects}
        1    0.000    0.000    0.310    0.310 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:109(create_valued)
      546    0.306    0.001    0.306    0.001 {method 'list' of 'sage.rings.polynomial.polynomial_zmod_flint.Polynomial_template' objects}
       16    0.000    0.000    0.300    0.019 /home/sergi/projects/postquantic-pot-code/src/ajtai/__init__.py:74(_gen_zs)
       27    0.001    0.000    0.268    0.010 /home/sergi/projects/postquantic-pot-code/src/ajtai/__init__.py:49(rej_sampling)
     4305    0.135    0.000    0.239    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/fft.py:152(adj_fft)
        4    0.000    0.000    0.232    0.058 /home/sergi/projects/postquantic-pot-code/src/assymetric/merchant.py:45(create_merchant)
      213    0.001    0.000    0.231    0.001 /home/sergi/projects/postquantic-pot-code/src/context/context.py:185(collapse_even_gen)
    55296    0.032    0.000    0.224    0.000 /usr/lib/python3.13/site-packages/sage/misc/prandom.py:129(randint)
        9    0.000    0.000    0.223    0.025 /home/sergi/projects/postquantic-pot-code/src/context/context.py:122(random_vector)
   171559    0.203    0.000    0.221    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/common.py:21(merge)
        4    0.000    0.000    0.216    0.054 /home/sergi/projects/postquantic-pot-code/src/ecoin/dilithium.py:125(sign)
   886680    0.213    0.000    0.213    0.000 {built-in method posix.urandom}
       20    0.000    0.000    0.206    0.010 /home/sergi/projects/postquantic-pot-code/src/falcon/ntrugen.py:62(field_norm)
1923553/1923293    0.205    0.000    0.205    0.000 {built-in method builtins.len}
        8    0.000    0.000    0.194    0.024 /home/sergi/projects/postquantic-pot-code/src/context/context.py:28(wrapper)
